name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
B-2 Spirit,bomber,Northrop Grumman,1989,Active,11100,900,1010,,2,21,52.4,Cold War to present,stealth strategic bombing,"Flying wing, subsonic, two crew, lambda wing planform, low observables, internal weapons, 6000+ nmi range","Penetrate defended airspace: pure flying wing for stealth, no vertical surfaces, curved composite surfaces",American stealth strategic bomber. Flying wing design. Penetrates sophisticated air defenses. 6000+ nmi unrefueled range. Conventional and nuclear. Replaced B-1A. Only 21 built. Cost $2B+ each.
C-17 Globemaster III,transport,Boeing,1991,Active,4480,830,833,102,3,53,51.75,1990s to present,strategic and tactical airlift,"Four turbofan engines, swept wing, STOL capability, rear ramp, airdrop, 170000 lb payload","Strategic and tactical in one: large payload, short rough-field landing, replace C-141 and augment C-5",American military transport. Strategic and tactical airlift. Based on YC-15. Carries troops and cargo. Medical evacuation and airdrop. Replaced C-141. Operates from austere runways.
Hawker Siddeley Harrier,attack,Hawker Siddeley,1966,Retired,3425,850,1185,,1,14.27,7.7,Cold War (1967-2006),V/STOL ground attack,"Vertical takeoff and landing, vectored thrust Pegasus engine, four swivelling nozzles, ski-jump launch","First operational V/STOL: operate without runways, disperse from vulnerable bases, amphibious assault",British V/STOL ground-attack aircraft. First operational fixed-wing V/STOL. Pegasus vectored-thrust engine. Operated from carriers and forward bases. Falklands War. Evolved to Sea Harrier and AV-8B Harrier II.
F-15 Eagle,fighter,McDonnell Douglas,1972,Active,3900,917,2655,,1,19.43,13.05,4th generation (1970s-present),air superiority,"Twin engine, high thrust-to-weight (>1), bubble canopy, all-weather, Mach 2.5, 8 hardpoints","Not a pound for air-to-ground: pure air superiority, outclimb and outaccelerate any threat, look-down shoot-down",American twin-engine air superiority fighter. Thrust-to-weight greater than one. Designed to counter Soviet fighters. Undefeated in air-to-air combat. Evolved to F-15E Strike Eagle for dual role.
F-14 Tomcat,fighter,Grumman,1970,Retired,2960,740,2485,,2,19.1,19.55,Cold War (1970s-2006),fleet air defense,"Variable-sweep wing, two-seat, AIM-54 Phoenix missile, twin engine, AWG-9 radar","Fleet defender: variable geometry for carrier and speed, long-range Phoenix, intercept at distance",American variable-sweep wing fleet defense fighter. Swing wings optimize for low-speed carrier and high-speed intercept. Phoenix missile for long range. Top Gun fame. Replaced by F/A-18.
C-130 Hercules,transport,Lockheed Martin,1954,Active,3800,540,592,92,5,29.79,40.41,Cold War to present,tactical airlift,"Four turboprop engines, high wing, rear ramp, STOL, 42000 lb payload, rough field capable","Tactical workhorse: operate anywhere, reliable, versatile, airdrop and assault, 60+ years in production","American four-engine turboprop tactical transport. High wing, rear ramp. STOL from rough strips. Airdrop, assault, medevac, tanker variants. Most produced military transport. In production since 1954."
MiG-21,fighter,Mikoyan-Gurevich,1955,Active,1210,850,2175,,1,15.76,7.15,Cold War (1950s-present),lightweight interceptor,"Delta wing, single engine, small radar cross-section, Mach 2, tailed delta, minimal frontal area","Minimalist interceptor: small, fast, cheap, point defense, GCI-guided, mass production for Warsaw Pact","Soviet single-engine supersonic fighter. Most produced jet aircraft. Delta wing, tailed configuration. Lightweight point-defense interceptor. Used by 60+ nations. Simple and reliable."
Boeing 747,airliner,Boeing,1969,Active,14815,913,988,524,3,76.3,68.4,jet age (1969-present),long-haul wide-body passenger and cargo,"Four engines, hump upper deck, wide body, 400+ passengers, long range, cargo and passenger variants","Jumbo Jet: double capacity, economy of scale, cargo capability, cockpit above main deck for nose loading",American wide-body commercial airliner. Jumbo Jet. First twin-aisle. Hump for cockpit and upper deck. Cargo nose door. Revolutionized long-haul travel. Queen of the Skies.
F-35 Lightning II,fighter,Lockheed Martin,2006,Active,2220,1223,1930,,1,15.67,10.7,5th generation (2006-present),multirole stealth strike,"Single engine, stealth, sensor fusion, STOVL variant, internal weapons, distributed aperture system","Joint strike fighter: one airframe three variants (conventional, carrier, STOVL), stealth multirole, international","American single-engine stealth multirole. F-35A conventional, F-35B STOVL, F-35C carrier. Sensor fusion. Replacing F-16, A-10, F/A-18, Harrier. International program."
C-5 Galaxy,transport,Lockheed Martin,1968,Active,4440,830,932,345,7,75.3,67.89,Cold War to present,strategic heavy airlift,"Four turbofan engines, nose and rear loading, 265000 lb payload, outsize cargo, 2700 nmi range","Heavy lifter: largest USAF cargo, main battle tanks, outsize loads, nose and tail doors for drive-through","American strategic heavy airlift. Largest military transport. Nose and rear loading. Carries main battle tanks, helicopters. Replaced C-141 for heaviest loads. C-5M modernized."
3I Sky Arrow,aircraft,,,,,,,,,,,Various,aircraft,"The Sky Arrow is a tandem two-seat, high-wing pusher light aircraft that was manufactured by 3I (Iniziative Industriali Italiane). 
3I entered bankruptcy proceedings in 2008, and in 2012 the design wa",Wikipedia-sourced,"The Sky Arrow is a tandem two-seat, high-wing pusher light aircraft that was manufactured by 3I (Iniziative Industriali Italiane). 
3I entered bankruptcy proceedings in 2008, and in 2012 the design was purchased by Magnaghi Aeronautica, of Naples, Italy."
3Xtrim 3X55 Trener,aircraft,,,,,,,,,,,Various,aircraft,"The 3X55 Trener (Trainer) and 3X47 Ultra are a family of ultralight aircraft produced in Poland by the 3Xtrim Aircraft Factory. Both are two-seat, high-wing, strut-braced monoplanes with fixed tricycl",Wikipedia-sourced,"The 3X55 Trener (Trainer) and 3X47 Ultra are a family of ultralight aircraft produced in Poland by the 3Xtrim Aircraft Factory. Both are two-seat, high-wing, strut-braced monoplanes with fixed tricycle undercarriage and available only as completed aircraft."
3Xtrim Aircraft Factory,aircraft,,,,,,,,,,,Various,aircraft,"The 3Xtrim Aircraft Factory, or Zakłady Lotnicze 3Xtrim Sp.z o.o.in Polish, was an aircraft manufacturer located in the city of Bielsko-Biała, in southern Poland.
The company was established by former",Wikipedia-sourced,"The 3Xtrim Aircraft Factory, or Zakłady Lotnicze 3Xtrim Sp.z o.o.in Polish, was an aircraft manufacturer located in the city of Bielsko-Biała, in southern Poland.
The company was established by former SZD sailplane engineer Adam Kurbiel in 1996 under the name Wytwórnia i Naprawa Konstrukcji Lekkich - A. Kurbiel."
A-90 Orlyonok,attack,,,,,,,,,,,Various,attack,"The A-90 Orlyonok (Russian: Орлёнок, lit. 'Eaglet') is a Soviet ekranoplan that was designed by Rostislav Evgenievich Alexeyev of the Central Hydrofoil Design Bureau.
The A-90 uses ground effect to fl",Wikipedia-sourced,"The A-90 Orlyonok (Russian: Орлёнок, lit. 'Eaglet') is a Soviet ekranoplan that was designed by Rostislav Evgenievich Alexeyev of the Central Hydrofoil Design Bureau.
The A-90 uses ground effect to fly a few meters above the surface."
A-B Helicopters A/W 95,attack,,,,,,,,,,,Various,attack,"The A-B Helicopters A/W 95 is an American helicopter, produced by A-B Helicopters in the form of plans for amateur construction.
By 2012 the A-B Helicopters website had been taken down and plans are n",Wikipedia-sourced,"The A-B Helicopters A/W 95 is an American helicopter, produced by A-B Helicopters in the form of plans for amateur construction.
By 2012 the A-B Helicopters website had been taken down and plans are no longer available."
A-I-R Atos,attack,,,,,,,,,,,Various,attack,"The A-I-R Atos is a German high-wing, single-place, rigid wing hang glider designed by Felix Ruehle and produced by A-I-R GmbH of Halblech.",Wikipedia-sourced,"The A-I-R Atos is a German high-wing, single-place, rigid wing hang glider designed by Felix Ruehle and produced by A-I-R GmbH of Halblech."
A2 CZ Ellipse Spirit,aircraft,,,,,,,,,,,Various,aircraft,"The A2 CZ Ellipse Spirit (sometimes spelled Elipse Spirit) is a Czech ultralight aircraft, designed and produced by A2 CZ. The aircraft was introduced at the Aero show in 2011 and is supplied complete",Wikipedia-sourced,"The A2 CZ Ellipse Spirit (sometimes spelled Elipse Spirit) is a Czech ultralight aircraft, designed and produced by A2 CZ. The aircraft was introduced at the Aero show in 2011 and is supplied complete and ready to fly or as a kit for amateur construction."
A41 Factory VNS-41,aircraft,,,,,,,,,,,Various,aircraft,The VNS-41 is the first amphibious microlight aircraft made in Vietnam. The A41 Factory (officially Aircraft Repair Company A-41) under the Air Force and Air Defence Department (Ministry of Defence) m,Wikipedia-sourced,The VNS-41 is the first amphibious microlight aircraft made in Vietnam. The A41 Factory (officially Aircraft Repair Company A-41) under the Air Force and Air Defence Department (Ministry of Defence) manufactured the aircraft based on the Russian Che-22 Korvet design by Boris Chernov and E. Yungerov.
AAC Angel,aircraft,,,,,,,,,,,Various,aircraft,The Angel Aircraft Corporation Model 44 Angel is a twin-engine STOL utility aircraft produced in the United States since the mid-1990s.  Designed by Carl Mortenson and The King's Engineering Fellowshi,Wikipedia-sourced,"The Angel Aircraft Corporation Model 44 Angel is a twin-engine STOL utility aircraft produced in the United States since the mid-1990s.  Designed by Carl Mortenson and The King's Engineering Fellowship to be well-suited for missionary work from remote locations around the world, it is a low-wing cantilever monoplane with a retractable tricycle undercarriage and eight seats."
AAC SeaStar,aircraft,,,,,,,,,,,Various,aircraft,"The AAC SeaStar is an amphibious biplane that was produced in kitplane form. The aircraft is built largely of composite materials and features wings that may be easily removed for transport, and a bal",Wikipedia-sourced,"The AAC SeaStar is an amphibious biplane that was produced in kitplane form. The aircraft is built largely of composite materials and features wings that may be easily removed for transport, and a ballistic recovery system in the form of a parachute that can be deployed from the engine nacelle."
AAC Seastar Sealoon,aircraft,,,,,,,,,,,Various,aircraft,"The AAC Seastar Sealoon is a Canadian amateur-built flying boat, under development by Amphibian Airplanes of Canada. The aircraft is intended to be supplied as a kit for amateur construction.",Wikipedia-sourced,"The AAC Seastar Sealoon is a Canadian amateur-built flying boat, under development by Amphibian Airplanes of Canada. The aircraft is intended to be supplied as a kit for amateur construction."
AAI Aerosonde,aircraft,,,,,,,,,,,Various,aircraft,"The AAI Aerosonde is a small unmanned aerial vehicle (UAV) designed to collect weather data, including temperature, atmospheric pressure, humidity, and wind measurements over oceans and remote areas. ",Wikipedia-sourced,"The AAI Aerosonde is a small unmanned aerial vehicle (UAV) designed to collect weather data, including temperature, atmospheric pressure, humidity, and wind measurements over oceans and remote areas.  The Aerosonde was developed by Insitu, and is now manufactured by Aerosonde Ltd, which is a strategic business of AAI Corporation."
AAI Corporation,aircraft,,,,,,,,,,,Various,aircraft,"AAI Corporation is an aerospace and defense development and manufacturing firm, located in Hunt Valley, Maryland, US. Formerly a wholly owned subsidiary of United Industrial Corporation, AAI was acqui",Wikipedia-sourced,"AAI Corporation is an aerospace and defense development and manufacturing firm, located in Hunt Valley, Maryland, US. Formerly a wholly owned subsidiary of United Industrial Corporation, AAI was acquired by Textron in 2007. It currently operates as a unit of Textron Systems and employs more than 2,000."
AAI Penetrator,aircraft,,,,,,,,,,,Various,aircraft,"The American Aircraft International Penetrator was a military helicopter prototype conceived in 1990 as a gunship conversion of the Bell UH-1 Iroquois, aimed at ground insertion, close support and cou",Wikipedia-sourced,"The American Aircraft International Penetrator was a military helicopter prototype conceived in 1990 as a gunship conversion of the Bell UH-1 Iroquois, aimed at ground insertion, close support and counter-insurgency roles."
AAI RQ-2 Pioneer,UAV,,,,,,,,,,,Various,UAV,"The AAI RQ-2 Pioneer is an unmanned aerial vehicle (UAV) that was used by the United States Navy, Marine Corps, and Army, and deployed at sea and on land from 1986 until 2007. Initially tested aboard ",Wikipedia-sourced,"The AAI RQ-2 Pioneer is an unmanned aerial vehicle (UAV) that was used by the United States Navy, Marine Corps, and Army, and deployed at sea and on land from 1986 until 2007. Initially tested aboard USS Iowa, the RQ-2 Pioneer was placed aboard Iowa-class battleships to provide gunnery spotting, its mission evolving into reconnaissance and surveillance, primarily for amphibious forces."
AAI RQ-7 Shadow,UAV,,,,,,,,,,,Various,UAV,"The AAI RQ-7 Shadow is an American unmanned aerial vehicle (UAV) used by the United States Army, Australian Army, Swedish Army, Turkish Air Force and Italian Army for reconnaissance, surveillance, and",Wikipedia-sourced,"The AAI RQ-7 Shadow is an American unmanned aerial vehicle (UAV) used by the United States Army, Australian Army, Swedish Army, Turkish Air Force and Italian Army for reconnaissance, surveillance, and target acquisition and battle damage assessment. Launched from a trailer-mounted pneumatic catapult, it is recovered with the aid of arresting gear similar to jets on an aircraft carrier."
AAI Sparrowhawk,aircraft,,,,,,,,,,,Various,aircraft,"The AAI SparrowHawk is an American two-seat pusher ultralight autogyro, available in kit form for amateur construction.",Wikipedia-sourced,"The AAI SparrowHawk is an American two-seat pusher ultralight autogyro, available in kit form for amateur construction."
ABC Motors,aircraft,,,,,,,,,,,Various,aircraft,"ABC Motors Limited (""All British (Engine) Company"") of Hersham, Surrey, England was a manufacturer of cars, aircraft, motor scooters, and engines for road and air. Established by Ronald Charteris in H",Wikipedia-sourced,"ABC Motors Limited (""All British (Engine) Company"") of Hersham, Surrey, England was a manufacturer of cars, aircraft, motor scooters, and engines for road and air. Established by Ronald Charteris in Hersham, Surrey in 1912, its chief designer was the young and talented Granville Bradshaw."
ABC Robin,aircraft,,,,,,,,,,,Various,aircraft,"The ABC Robin was a British single-seat light aircraft designed by A. A. (Tony) Fletcher in 1929. It was a high-wing, single-seat monoplane of conventional taildragger configuration.",Wikipedia-sourced,"The ABC Robin was a British single-seat light aircraft designed by A. A. (Tony) Fletcher in 1929. It was a high-wing, single-seat monoplane of conventional taildragger configuration."
ABS Aerolight,aircraft,,,,,,,,,,,Various,aircraft,"ABS Aerolight was a French aircraft manufacturer based in Sérignan-du-Comtat. The company specialized in the design and manufacture of powered parachutes and roadable aircraft, in the form of kits for",Wikipedia-sourced,"ABS Aerolight was a French aircraft manufacturer based in Sérignan-du-Comtat. The company specialized in the design and manufacture of powered parachutes and roadable aircraft, in the form of kits for amateur construction and ready-to-fly aircraft for the European Fédération Aéronautique Internationale microlight category."
ABS Aerolight Legacy,aircraft,ABS Aerolight,,Active,,,,,,,,Various,aircraft,"The ABS Aerolight Legacy is a French powered parachute that was designed and produced by ABS Aerolight of Sérignan-du-Comtat. Now out of production, when it was available the aircraft was supplied as ",Wikipedia-sourced,"The ABS Aerolight Legacy is a French powered parachute that was designed and produced by ABS Aerolight of Sérignan-du-Comtat. Now out of production, when it was available the aircraft was supplied as a complete ready-to-fly-aircraft and as a kit for amateur construction."
ABS Aerolight Navigathor,aircraft,ABS Aerolight,,Active,,,,,,,,Various,aircraft,"The ABS Aerolight Navigathor is a French powered parachute and roadable aircraft that was designed and produced by ABS Aerolight of Sérignan-du-Comtat. Now out of production, when it was available the",Wikipedia-sourced,"The ABS Aerolight Navigathor is a French powered parachute and roadable aircraft that was designed and produced by ABS Aerolight of Sérignan-du-Comtat. Now out of production, when it was available the aircraft was supplied as a complete ready-to-fly-aircraft and as a kit for amateur construction."
ABS Aircraft,aircraft,,,,,,,,,,,Various,aircraft,"ABS Aircraft AG is a Swiss aircraft manufacturer, building Fournier-designed motorgliders. It was founded in Küsnacht (ZH) in 1985.",Wikipedia-sourced,"ABS Aircraft AG is a Swiss aircraft manufacturer, building Fournier-designed motorgliders. It was founded in Küsnacht (ZH) in 1985."
AC Mobil 34,aircraft,,,,,,,,,,,Various,aircraft,AC Mobil 34 is a small French aircraft manufacturer based in Saint-Florentin. The firm produces a light aircraft in kitplane form.,Wikipedia-sourced,AC Mobil 34 is a small French aircraft manufacturer based in Saint-Florentin. The firm produces a light aircraft in kitplane form.
AC Mobil 34 Chrysalin,aircraft,,,Active,,,,,,,,Various,aircraft,The AC Mobil 34 Chrysalin is a two-seat light aircraft produced in France in kitplane form. The aircraft was designed to comply with the Fédération Aéronautique Internationale microlight rules.,Wikipedia-sourced,The AC Mobil 34 Chrysalin is a two-seat light aircraft produced in France in kitplane form. The aircraft was designed to comply with the Fédération Aéronautique Internationale microlight rules.
ACAZ C.2,aircraft,,,,,,,,,,,Various,aircraft,"The ACAZ C.2, Ateliers de Construction Aeronautique de Zeebruge, was a prototype Belgian biplane fighter aircraft built in the 1920s.",Wikipedia-sourced,"The ACAZ C.2, Ateliers de Construction Aeronautique de Zeebruge, was a prototype Belgian biplane fighter aircraft built in the 1920s."
ACAZ T.2,aircraft,,,,,,,,,,,Various,aircraft,"The ACAZ T.1  and T.2, very similar to each other, were the first Belgian all-metal aircraft, flown in 1924. They were single-engined touring monoplanes which seated two.",Wikipedia-sourced,"The ACAZ T.1  and T.2, very similar to each other, were the first Belgian all-metal aircraft, flown in 1924. They were single-engined touring monoplanes which seated two."
ACS-100 Sora,aircraft,,,,,,,,,,,Various,aircraft,"The ACS-100 Sora is a Brazilian two-seat Light Sport Aircraft, designed by Advanced Composites Solutions.",Wikipedia-sourced,"The ACS-100 Sora is a Brazilian two-seat Light Sport Aircraft, designed by Advanced Composites Solutions."
ACS-Itaipu Sora-E,attack,,,,,,,,,,,Various,attack,The Sora-E is a two-seat electric powered aircraft. It is a joint venture between ACS Aviation of Brazil and Itaipu Binacional of Paraguay.,Wikipedia-sourced,The Sora-E is a two-seat electric powered aircraft. It is a joint venture between ACS Aviation of Brazil and Itaipu Binacional of Paraguay.
AD Aerospace,aircraft,,,,,,,,,,,Various,aircraft,"AD Aerospace are involved in Aircraft Video Surveillance and form part of the Mythra Group of companies.
Headquartered in Hazel Grove, Cheshire, UK at purpose-built premises, making Flight Deck Entry/",Wikipedia-sourced,"AD Aerospace are involved in Aircraft Video Surveillance and form part of the Mythra Group of companies.
Headquartered in Hazel Grove, Cheshire, UK at purpose-built premises, making Flight Deck Entry/Cockpit Door Surveillance Systems (FDEVSS/CDSS), Cabin Surveillance Systems and Cargo Surveillance Systems, as well as Ground Manoeuvring and In Flight Entertainment (IFE) systems utilising external c..."
AD Flying Boat,aircraft,,,,,,,,,,,Various,aircraft,The AD Flying Boat was designed by the British Admiralty's Air Department to serve as a patrol aircraft that could operate in conjunction with Royal Navy warships. Intended for use during the First Wo,Wikipedia-sourced,"The AD Flying Boat was designed by the British Admiralty's Air Department to serve as a patrol aircraft that could operate in conjunction with Royal Navy warships. Intended for use during the First World War, production of the aircraft was terminated as the end of the war came into sight, and the type saw little operational use."
AD Navyplane,aircraft,,,,,,,,,,,Various,aircraft,The AD Navyplane was designed by the British Admiralty's Air Department as a reconnaissance aircraft for use during World War I.  Performance of the prototype was so disappointing that plans to produc,Wikipedia-sourced,"The AD Navyplane was designed by the British Admiralty's Air Department as a reconnaissance aircraft for use during World War I.  Performance of the prototype was so disappointing that plans to produce it were cancelled almost immediately.
The Navyplane was designed by the Admiralty's Harold Bolas with the assistance of R.J. Mitchell of Supermarine."
AD Scout,aircraft,,,,,,,,,,,Various,aircraft,The AD Scout (also known as the Sparrow) was designed by Harris Booth of the British Admiralty's Air Department as a fighter aircraft to defend Britain from Zeppelin bombers during World War I.,Wikipedia-sourced,The AD Scout (also known as the Sparrow) was designed by Harris Booth of the British Admiralty's Air Department as a fighter aircraft to defend Britain from Zeppelin bombers during World War I.
AD Seaplane Type 1000,aircraft,J. Samuel White,,Active,,,,,,,,Various,aircraft,"The AD Seaplane Type 1000 also known as the Admiralty Type 1000 and the AD.1 (from Air Department) was a British seaplane of the First World War designed to attack German warships. When it first flew,",Wikipedia-sourced,"The AD Seaplane Type 1000 also known as the Admiralty Type 1000 and the AD.1 (from Air Department) was a British seaplane of the First World War designed to attack German warships. When it first flew, it was the largest British aircraft yet to take to the air."
ADI Bumble Bee,aircraft,,,,,,,,,,,Various,aircraft,The ADI Bumble Bee (sometimes Hollmann Bumble Bee) is an ultralight gyrocopter marketed by Aircraft Designs Inc (ADI). It was the first of its kind when it flew in 1983 and is still available in plans,Wikipedia-sourced,The ADI Bumble Bee (sometimes Hollmann Bumble Bee) is an ultralight gyrocopter marketed by Aircraft Designs Inc (ADI). It was the first of its kind when it flew in 1983 and is still available in plans form for homebuilding.
AEA Cygnet,aircraft,,,,,,,,,,,Various,aircraft,"The Cygnet (or Aerodrome #5) was an extremely unorthodox early Canadian aircraft, with a wall-like ""wing"" made up of 3,393 tetrahedral cells. It was a powered version of the Cygnet tetrahedral kite de",Wikipedia-sourced,"The Cygnet (or Aerodrome #5) was an extremely unorthodox early Canadian aircraft, with a wall-like ""wing"" made up of 3,393 tetrahedral cells. It was a powered version of the Cygnet tetrahedral kite designed by Dr Alexander Graham Bell in 1907 and built by the newly founded Aerial Experiment Association."
AEA Silver Dart,aircraft,,,,,,,,,,,Various,aircraft,"The Silver Dart (or Aerodrome #4) was a derivative of an early aircraft built by a Canadian/U.S. team, which after many successful flights in Hammondsport, New York, earlier in 1908, was dismantled an",Wikipedia-sourced,"The Silver Dart (or Aerodrome #4) was a derivative of an early aircraft built by a Canadian/U.S. team, which after many successful flights in Hammondsport, New York, earlier in 1908, was dismantled and shipped to Baddeck, Nova Scotia. It was flown from the ice of Baddeck Bay, a sub-basin of Bras d'Or Lake, on 23 February 1909, making it the first controlled powered flight in Canada."
AEA White Wing,aircraft,,,,,,,,,,,Various,aircraft,"The White Wing (or Aerodrome #2) was an early US aircraft designed by Frederick W. Baldwin and built by the Aerial Experiment Association in 1908. Unusual for aircraft of its day, it featured a wheele",Wikipedia-sourced,"The White Wing (or Aerodrome #2) was an early US aircraft designed by Frederick W. Baldwin and built by the Aerial Experiment Association in 1908. Unusual for aircraft of its day, it featured a wheeled undercarriage."
AEG (German company),aircraft,,,,,,,,,,,Various,aircraft,"AEG Daimler-Benz Industrie AG (originally Deutsche Edison-Gesellschaft für angewandte Elektricität AG, later Allgemeine Elektricitäts-Gesellschaft AG, Allgemeine Elektricitäts-Gesellschaft AEG-Telefun",Wikipedia-sourced,"AEG Daimler-Benz Industrie AG (originally Deutsche Edison-Gesellschaft für angewandte Elektricität AG, later Allgemeine Elektricitäts-Gesellschaft AG, Allgemeine Elektricitäts-Gesellschaft AEG-Telefunken AG, AEG-Telefunken AG and AEG AG), simply known as AEG, was a German producer of electrical equipment.
It was established in 1883 by Emil Rathenau in Berlin."
AEG B.II,aircraft,,,,,,,,,,,Various,aircraft,The AEG B.II was a two-seat biplane reconnaissance aircraft produced in small numbers from 1914. It was a slightly smaller version of the B.I and proved more successful.,Wikipedia-sourced,The AEG B.II was a two-seat biplane reconnaissance aircraft produced in small numbers from 1914. It was a slightly smaller version of the B.I and proved more successful.
AEG C.I,aircraft,,,,,,,,,,,Various,aircraft,The AEG C.I was a two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial ,Wikipedia-sourced,"The AEG C.I was a two-seat biplane reconnaissance aircraft built by the Allgemeine Elektricitäts-Gesellschaft (AEG) during the First World War for the Imperial German Army's (Deutsches Heer) Imperial German Air Service (Luftstreitkräfte). It was a modified version of the B.II training aircraft with a machine gun added for the observer, a more powerful engine and different wings."
